magazine,page,entreprise,ticker,categorie,signal,preuve
Capital 10/2026,85,Air Liquide,AI.PA,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Air Liquide,AI.PA,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Air Liquide,AI.PA,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Assa Abloy,ASSA-B.ST,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Assa Abloy,ASSA-B.ST,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Assa Abloy,ASSA-B.ST,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Atmos Energy,ATO,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Atmos Energy,ATO,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Atmos Energy,ATO,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,BAE Systems,BA.L,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,BAE Systems,BA.L,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,BAE Systems,BA.L,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Börse Online 27/2026,60,BE Semiconductor,BESI.AS,Croissance,Croissance du CA / des bénéfices,"Der Umsatz legte um 28,3 Prozent zu, über das operative Ergebnis um 62,6 Prozent"
Börse Online 27/2026,60,BE Semiconductor,BESI.AS,Qualité,Marges / rentabilité élevées,eine operative Marge zwischen 45 und 55 Prozent.
Börse Online 27/2026,60,BE Semiconductor,BESI.AS,Croissance,Pipeline produits / études cliniques / innovation,"Um moderne KI-Anwendungen zu ermöglichen, müssen Speicherchips immer leistungsfähiger werden"
Börse Online 27/2026,60,BE Semiconductor,BESI.AS,Thème / macro,"IA, semi-conducteurs, data centers",Vor allem die Hybrid-Bonding-Technologie des niederländischen Chipzulieferers ist gefragt: Im ersten Quartal 2026 waren die Bestellungen mehr als doppelt so hoch wie im Vorquartal
Capital 10/2026,85,Canadian National Railway,CNR.TO,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Canadian National Railway,CNR.TO,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Canadian National Railway,CNR.TO,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Canon,7751.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Canon,7751.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Canon,7751.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Cincinnati Financial,CINF,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Cincinnati Financial,CINF,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Cincinnati Financial,CINF,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Consolidated Edison,ED,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Consolidated Edison,ED,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Consolidated Edison,ED,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Cranswick,CWK.L,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Cranswick,CWK.L,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,Cranswick,CWK.L,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,DTE Energy,DTE,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,DTE Energy,DTE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,85,DTE Energy,DTE,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,East Japan Railway,9020.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,East Japan Railway,9020.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,East Japan Railway,9020.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Entergy,ETR,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Entergy,ETR,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Entergy,ETR,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,EOG Resources,EOG,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,EOG Resources,EOG,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,EOG Resources,EOG,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Everest Group,EG,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Everest Group,EG,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Everest Group,EG,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,ExxonMobil,XOM,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,ExxonMobil,XOM,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,ExxonMobil,XOM,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Fresenius,FRE.DE,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Fresenius,FRE.DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Fresenius,FRE.DE,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Fuchs,FPE3.DE,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Fuchs,FPE3.DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Fuchs,FPE3.DE,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Halliburton,HAL,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Halliburton,HAL,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Halliburton,HAL,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,KDDI,9433.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,KDDI,9433.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,KDDI,9433.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Kerry Group,KRZ.IR,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Kerry Group,KRZ.IR,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Kerry Group,KRZ.IR,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Kirin Holdings,2503.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Kirin Holdings,2503.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Kirin Holdings,2503.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Lockheed Martin,LMT,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Lockheed Martin,LMT,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,Lockheed Martin,LMT,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,LVMH,MC.PA,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,LVMH,MC.PA,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,LVMH,MC.PA,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,M&T Bank,MTB,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,M&T Bank,MTB,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,87,M&T Bank,MTB,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,McCormick & Co.,MKC,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,McCormick & Co.,MKC,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,McCormick & Co.,MKC,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Metlife,MET,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Metlife,MET,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Metlife,MET,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Metro,MRU.TO,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Metro,MRU.TO,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Metro,MRU.TO,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Münchener Rück,MUV2.DE,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Münchener Rück,MUV2.DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Münchener Rück,MUV2.DE,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Next,NXT.L,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Next,NXT.L,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Next,NXT.L,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,NextEra Energy,NEE,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,NextEra Energy,NEE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,NextEra Energy,NEE,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Northrop Grumman,NOC,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Northrop Grumman,NOC,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Northrop Grumman,NOC,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Novartis,NOVN.SW,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Novartis,NOVN.SW,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Novartis,NOVN.SW,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,NTT,9432.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,NTT,9432.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,NTT,9432.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Occidental Petroleum,OXY,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Occidental Petroleum,OXY,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Occidental Petroleum,OXY,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Odakyu Electric Railway,9007.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Odakyu Electric Railway,9007.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Odakyu Electric Railway,9007.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Osaka Gas,9532.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
