type,ticker,titre,sentiment,intensite,horizon,resume,score_fondamental,catalyseur,lien,date
ALERT_PORTFOLIO,AVGO,"Broadcom, Viking, Rio Tinto Lead Five Stocks Near Buy Points As Market Revs",positif,fort,intraday,La hausse de 0.7% sur 5 jours pour AVGO indique une augmentation de popularité possiblement liée à des nouvelles récentes ou des performances financières encourageantes.,,produit,https://www.investors.com/news/broadcom-stock-market-viking-rio-tinto-dycom-wabtec-sp-500-dow-jones-nasdaq/?src=A00220&yptr=yahoo,2026-05-03 12:47:01
ALERT_PORTFOLIO,ALAB,"Should You Buy, Sell or Hold ALAB Stock Before Q1 Earnings Release?",positif,modere,1-3mois,"Astera Labs annonce des revenus en croissance grâce à son expansion dans le domaine de l'intelligence artificielle, mais la pression sur les marges et une forte valorisation pourraient limiter les gains.",,earnings,https://finance.yahoo.com/markets/stocks/articles/buy-sell-hold-alab-stock-163000739.html?.tsrc=rss,2026-05-03 12:47:02
ALERT_PORTFOLIO,ALAB,What an Astera Labs Golden Cross Tells Investors About the Next Leg Up,positif,fort,1-2sem,La croissance de Astera Labs indique un changement de momentum favorables pour les investisseurs.,,produit,https://247wallst.com/investing/2026/04/30/what-an-astera-labs-golden-cross-tells-investors-about-the-next-leg-up/?.tsrc=rss,2026-05-03 12:47:03
ALERT_PORTFOLIO,AVGO,"Dow Jones Futures: Stock Market Hits High After Bullish Pause; Apple, Broadcom In Buy Zones",positif,modere,intraday,Le rebond du marché boursier après une pause brève est encouragé par l'indication que des actions spécifiques comme Apple et Broadcom sont dans des zones d'achat.,,macro,https://finance.yahoo.com/m/cfdf164e-e24a-366b-9d8b-b0274f05ba94/dow-jones-futures%3A-stock.html?.tsrc=rss,2026-05-03 12:47:05
ALERT_PORTFOLIO,AVGO,Is Broadcom (AVGO) One of the Best American Tech Stocks to Buy?,positif,modere,1-3mois,La déclaration de lancement de nouveaux produits Wi-Fi 8 et PON par Broadcom renforce sa position de leader dans le secteur de la bande passante.,,produit,https://finance.yahoo.com/sectors/technology/articles/broadcom-avgo-one-best-american-223952363.html?.tsrc=rss,2026-05-03 12:47:06
ALERT_PORTFOLIO,AVGO,"Broadcom, Viking, Rio Tinto Lead Five Stocks Near Buy Points As Market Revs",positif,modere,intraday,"Les actions de Broadcom, une entreprise de composants électroniques, montrent des signes d'achat. Cela pourrait être encouragé par des perspectives d'achats croissantes et des perspectives de croissance dans le secteur des composants électroniques.",,M&A,https://finance.yahoo.com/m/86759845-aca9-3fa5-943d-cb6ae3de1e02/broadcom%2C-viking%2C-rio-tinto.html?.tsrc=rss,2026-05-03 12:47:07
ALERT_PORTFOLIO,AVGO,How Investors Are Reacting To Broadcom (AVGO) Embedding AppNeta Observability Inside Google Cloud,positif,modere,1-3mois,"La collaboration entre Broadcom et Google Cloud pour intégrer AppNeta Observability dans Google Cloud améliore la surveillance des performances des entreprises pour les applications complexes AI et cloud, potentiellement augmentant la valeur des actions de Broadcom.",,M&A,https://finance.yahoo.com/markets/stocks/articles/investors-reacting-broadcom-avgo-embedding-021339411.html?.tsrc=rss,2026-05-03 12:47:09
ALERT_PORTFOLIO,NVDA,The First $6 Trillion Company May Not Be Nvidia,negatif,fort,intraday,La baisse de la valeur de Nvidia (NVDA) est principalement due à la hausse des perspectives de croissance d'Alphabet (GOOGL) sur le marché de l'intelligence artificielle et du cloud.,,produit,https://finance.yahoo.com/m/b246014e-b62f-3722-8a0b-f30af3a07666/the-first-%246-trillion-company.html?.tsrc=rss,2026-05-03 12:47:10
ALERT_PORTFOLIO,DB,Deutsche Bank Reaffirms Buy on Intuit (INTU) After TurboTax Survey Insights,positif,modere,1-2sem,Deutsche Bank renforce son recommandation d'achat sur Intuit suite à une étude sur TurboTax.,,produit,https://finance.yahoo.com/markets/stocks/articles/deutsche-bank-reaffirms-buy-intuit-075152576.html?.tsrc=rss,2026-05-03 12:47:11
ALERT_PORTFOLIO,DB,Deutsche Bank Keeps Hold Rating on AMD Ahead of Q1 Results,positif,modere,1-3mois,"Le maintien du rating Hold par Deutsche Bank sur Advanced Micro Devices, Inc. (AMD) avant les résultats du premier trimestre pourrait indiquer une anticipation positive concernant les résultats de la compagnie.",,earnings,https://finance.yahoo.com/sectors/technology/articles/deutsche-bank-keeps-hold-rating-224031215.html?.tsrc=rss,2026-05-03 12:47:12
