ticker,nom,secteur,pays,devise,type,date_derniere_alerte,nb_alertes,sentiment_dominant,intensite_max,horizons,catalyseurs,resume_principal,score_growth,G1_CA,G1_ok,G2_Marge,G2_ok,G3_Underval,G3_ok,G4_Momentum,G4_ok,G5_Volume,G5_ok,score_safe,S1_MCap,S1_ok,S2_DE,S2_ok,S3_Beta,S3_ok,S4_Div,S4_ok,S5_FCF_M,S5_ok,S6_FCF_G,S6_ok,S7_RevEPS,S7_ok,score_total,profil,conviction_opp,direction_opp,prix,market_cap_B,titres,liens
ALAB,,,,,BOTH,2026-05-03 15:00,4,positif,fort,intraday | 1-3mois | 1-2sem,M&A | earnings | produit | dividendes récurrents,La croissance de Astera Labs indique un changement de momentum favorables pour les investisseurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faible,hausse,,,"RBC Capital Raises Astera Labs (ALAB) Price Target Amid Expected Boost from Amaz | Should You Buy, Sell or Hold ALAB Stock Before Q1 Earnings Release? | What an Astera Labs Golden Cross Tells Investors About the Next Leg Up",https://finance.yahoo.com/markets/stocks/articles/rbc-capital-raises-astera-labs-184019961.html?.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/buy-sell-hold-alab-stock-163000739.html?.tsrc=rss | https://247wallst.com/investing/2026/04/30/what-an-astera-labs-golden-cross-tells-investors-about-the-next-leg-up/?.tsrc=rss
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,United States,USD,BOTH,2026-05-03 15:00,4,negatif,fort,1-3mois | intraday,earnings | réglementaire | dividendes récurrents,La baisse significative du titre ALDX est due à la troisième annulation de la demande de réapprobation (CRL) par la FDA pour le traitement de la maladie de la sècheresse oculaire.,0,✗ N/A,False,✗ 0.0%,False,✗ 1/3,False,✗ -70.7%,False,✗ 1.05x,False,1,✗ 0.1Mrd€,False,✓ 35.1%,True,✗ 1.33,False,✗ 0.00%,False,✗ N/A,False,✗ FCF-,False,✗ N/A,False,1,⚪ Below,fort,hausse,1.59,0.1,Aldeyra Therapeutics And 2 More Promising Penny Stocks For Your Watchlist | ALDX Crashes 71% as FDA Issues Third CRL for Dry Eye Disease Drug NDA,https://finance.yahoo.com/markets/stocks/articles/aldeyra-therapeutics-2-more-promising-180528519.html?.tsrc=rss | https://finance.yahoo.com/news/aldx-crashes-71-fda-issues-151000954.html?.tsrc=rss
CF,,,,,PORTFOLIO,2026-04-27 20:57,6,positif,modere,1-3mois | 1-2sem,sectoriel | earnings | macro,"La croissance du marché du gaz vert ammoniac est projetée pour accélérer, influençant positivement les actions de CF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is CF Industries (CF) Stock Outpacing Its Basic Materials Peers This Year? | Is It Too Late To Consider CF Industries (CF) After Strong Multi Year Share Pric | Global Green Ammonia Market Forecast to Hit USD 18.3 Billion by 2036: Regional G,https://finance.yahoo.com/markets/stocks/articles/cf-industries-cf-stock-outpacing-134003453.html?.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/too-consider-cf-industries-cf-170538812.html?.tsrc=rss | https://finance.yahoo.com/sectors/energy/articles/global-green-ammonia-market-forecast-094000301.html?.tsrc=rss
DB,,,,,PORTFOLIO,2026-05-03 14:46,6,positif,modere,1-2sem | 1-3mois | intraday,macro | produit | earnings,"Le début de l'année 2026 pour Deutsche Bank est prometteur avec des bénéfices records et une amélioration des indicateurs de rentabilité, mais la baisse du cours de l'action de 2.5% indique une certaine insatisfaction sur le marché.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deutsche Bank Sees Canadian Dollar Rising ""Modestly"" Vs. US Dollar This Year, Be | Gold is winning against the dollar as nations manage global strife. Deutsche Ban | Deutsche Bank Reaffirms Buy on Intuit (INTU) After TurboTax Survey Insights | Deutsche Bank Keeps Hold Rating on AMD Ahead of Q1 Results | Deutsche Bank Aktiengesellschaft Q1 Earnings Call Highlights",https://finance.yahoo.com/markets/currencies/articles/deutsche-bank-sees-canadian-dollar-142237285.html?.tsrc=rss | https://www.cnbc.com/2026/04/27/gold-is-winning-out-against-the-dollar-as-nations-manage-global-strife.html | https://finance.yahoo.com/markets/stocks/articles/deutsche-bank-reaffirms-buy-intuit-075152576.html?.tsrc=rss | https://finance.yahoo.com/sectors/technology/articles/deutsche-bank-keeps-hold-rating-224031215.html?.tsrc=rss | https://www.marketbeat.com/instant-alerts/deutsche-bank-aktiengesellschaft-q1-earnings-call-highlights-2026-05-01/?utm_source=yahoofinance&utm_medium=yahoofinance&.tsrc=rss
ENR.DE,,,,,PORTFOLIO,2026-04-27 20:57,2,positif,fort,intraday,earnings,"Siemens Energy a augmenté ses prévisions pour l'année en cours, ce qui pourrait indiquer une amélioration des perspectives financières.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avis stock crash continues, Siemens Energy lifts outlook",https://finance.yahoo.com/video/avis-stock-crash-continues-siemens-energy-lifts-outlook-185100021.html?.tsrc=rss
GS,,,,,PORTFOLIO,2026-05-03 14:46,13,positif,fort,intraday | 1-2sem | 1-3mois,M&A | technologique | macro | earnings,Le rapport de Goldman Sachs prédisant une hausse des prix du pétrole pourrait atteindre 120$ ce qui pourrait avoir un impact négatif sur les actions de la banque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GPIQ Vs. FEPI: Downgrading Rex Shares In Favor Of Goldman Sachs | Goldman Pulls Back After 8 Million Qubit Reality Check, JPMorgan Presses On | Goldman Sachs Predicts $100 Oil Through the End of 2026 if Flows Don't Normalize | Oil could trade at nearly $120 if war drags on, Goldman Sachs warns | Goldman Sachs Lifts UnitedHealth Target Price: Healthcare ETFs to Watch | Goldman Sachs, JPMorgan sharply diverge on quantum computing | Goldman Sachs Touts Record Q1 2026, Launches AI-Driven “One Goldman Sachs 3.0” a | Goldman Sachs says the S&P 500's run past 7,100 is 'froth' — a previous time Wal",https://seekingalpha.com/article/4894694-gpiq-vs-fepi-downgrading-rex-shares-in-favor-of-goldman-sachs?source=feed_all_articles | https://finance.yahoo.com/sectors/technology/articles/goldman-pulls-back-8-million-185000531.html?.tsrc=rss | https://www.fool.com/investing/2026/04/27/goldman-sachs-predicts-100-oil-through-the-end-of/?.tsrc=rss | https://finance.yahoo.com/markets/commodities/articles/oil-could-trade-nearly-120-112057859.html?.tsrc=rss | https://finance.yahoo.com/sectors/healthcare/articles/goldman-sachs-lifts-unitedhealth-target-161700514.html?.tsrc=rss | https://www.thestreet.com/crypto/markets/goldman-sachs-jpmorgan-sharply-diverge-on-quantum-computing?.tsrc=rss | https://www.marketbeat.com/instant-alerts/goldman-sachs-touts-record-q1-2026-launches-ai-driven-one-goldman-sachs-30-at-annual-meeting-2026-05-02/?utm_source=yahoofinance&utm_medium=yahoofinance&.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/goldman-sachs-says-p-500s-194500078.html?.tsrc=rss
IMNM,,,,,PORTFOLIO,2026-05-03 14:46,13,positif,fort,1-2sem | 1-3mois | intraday,produit | réglementaire | earnings,"Le cours de l'action de Immunome (IMNM) a augmenté de 13.3% suite à une augmentation du volume de trading, indiquant une forte pression acheteuse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Look At Immunome (IMNM) Valuation As Varegacestat Nears ASCO 2026 Spotlight An | Immunome Announces Oral Presentation of Phase 3 RINGSIDE Data at 2026 ASCO Annua | Immunome Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4) | Immunome (IMNM) Moves 13.3% Higher: Will This Strength Last? | Did Reduced 2025 Losses and NDA Plans Just Shift Immunome's (IMNM) Investment Na | Immunome Reports Full Year 2025 Financial Results and Provides Business Update | Immunome Announces Submission of New Drug Application to U.S. FDA for Varegacest,https://finance.yahoo.com/sectors/healthcare/articles/look-immunome-imnm-valuation-varegacestat-110409343.html?.tsrc=rss | https://finance.yahoo.com/sectors/healthcare/articles/immunome-announces-oral-presentation-phase-143000594.html?.tsrc=rss | https://finance.yahoo.com/sectors/healthcare/articles/immunome-reports-inducement-grants-under-200000168.html?.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/immunome-imnm-moves-13-3-115600401.html?.tsrc=rss | https://finance.yahoo.com/news/did-reduced-2025-losses-nda-221135228.html?.tsrc=rss | https://finance.yahoo.com/news/immunome-reports-full-2025-financial-210200963.html?.tsrc=rss | https://finance.yahoo.com/sectors/healthcare/articles/immunome-announces-submission-drug-application-113000871.html?.tsrc=rss
XPO,,,,,PORTFOLIO,2026-05-03 14:46,1,positif,modere,1-2sem,macro,"Le changement de cible de valeur juste pour XPO indique une augmentation potentielle du prix de l'action, influencée par les analyses plus optimistes des banques comme JPMorgan et Goldman Sachs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How The Investment Narrative For XPO (XPO) Is Shifting With New Targets And Assu,https://finance.yahoo.com/markets/stocks/articles/investment-narrative-xpo-xpo-shifting-200821715.html?.tsrc=rss
AGEN,Agenus Inc.,Healthcare,United States,USD,VALIDATED,2026-05-03 15:00,6,positif,fort,1-2sem | 1-3mois | intraday,produit | M&A | dividendes récurrents,"Le titre Agenus (AGEN) a connu une hausse significative de 5.2% sur la semaine écoulée, dépassant le secteur de la santé.",5,✓ 27.5%,True,✓ 96.5%,True,✓ 2/3,True,✓ 34.3%,True,✓ 1.25x,True,1,✗ 0.1Mrd€,False,✗ N/A,False,✗ 1.61,False,✗ 0.00%,False,✗ -72.7%,False,✗ 27.5%,False,✓ 27.5%,True,6,🚀 Pure Growth,modere,hausse,3.84,0.15,Agenus to Present First Phase 2 Botensilimab Data in Advanced Cutaneous Melanoma | Agenus Names BAP Pharma as Exclusive Global Partner for BOT+BAL Access Programs | Is Agenus (AGEN) Outperforming Other Medical Stocks This Year?,https://finance.yahoo.com/sectors/healthcare/articles/agenus-present-first-phase-2-140000767.html?.tsrc=rss | https://finance.yahoo.com/sectors/healthcare/articles/agenus-names-bap-pharma-exclusive-120000311.html?.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/agenus-agen-outperforming-other-medical-134002430.html?.tsrc=rss
AMD,"Advanced Micro Devices, Inc.",Technology,,,VALIDATED,2026-04-27 21:46,0,,,,upgrade analyste,"Analyste devient bullish sur Advanced Micro Devices, prévoyant une hausse de 25%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,335.615,,,
